,index,middle,ring,pinky,label
0,"[703.4, 703.5, 703.7, 703.9, 704.4, 705.0, 705.6, 706.1, 706.3, 706.5]","[693.8, 693.8, 693.8, 693.8, 693.8, 693.9, 694.0, 694.0, 694.0, 694.0]","[727.8, 727.8, 727.8, 727.8, 727.8, 727.9, 728.0, 728.0, 728.0, 728.0]","[721.0, 721.0, 720.8, 720.1, 718.9, 717.2, 715.5, 714.3, 713.6, 713.4]",0-0
1,"[702.0, 702.1, 702.4, 702.9, 703.6, 704.6, 705.6, 706.3, 706.8, 707.1]","[693.0, 693.0, 693.0, 692.9, 692.9, 692.9, 692.9, 692.9, 692.8, 692.8]","[727.4, 727.4, 727.3, 727.2, 727.2, 727.3, 727.4, 727.4, 727.3, 727.2]","[722.2, 722.0, 721.4, 720.4, 718.9, 717.1, 715.3, 713.8, 712.8, 712.2]",0-0
2,"[702.4, 702.5, 702.8, 703.5, 704.3, 705.4, 706.5, 707.3, 708.0, 708.3]","[692.8, 692.8, 692.9, 692.8, 692.8, 692.7, 692.6, 692.6, 692.5, 692.6]","[728.0, 728.0, 728.0, 727.9, 727.8, 727.7, 727.6, 727.5, 727.4, 727.4]","[717.2, 716.9, 716.1, 714.8, 713.2, 711.3, 709.4, 707.8, 706.5, 705.7]",0-0
3,"[704.8, 704.9, 705.3, 705.9, 706.8, 707.8, 708.8, 709.7, 710.3, 710.7]","[693.4, 693.4, 693.3, 693.3, 693.1, 693.0, 692.9, 692.7, 692.7, 692.6]","[727.4, 727.3, 727.2, 727.1, 727.0, 726.8, 726.6, 726.5, 726.4, 726.3]","[714.8, 714.5, 713.5, 711.8, 709.8, 707.5, 705.2, 703.2, 701.5, 700.5]",0-0
4,"[706.2, 706.3, 706.5, 706.9, 707.4, 708.0, 708.6, 709.1, 709.5, 709.7]","[692.0, 692.0, 691.9, 691.9, 691.7, 691.6, 691.5, 691.3, 691.3, 691.2]","[726.0, 726.0, 726.0, 726.0, 726.0, 726.0, 726.0, 726.0, 726.0, 726.0]","[711.4, 711.3, 710.7, 709.7, 708.2, 706.3, 704.4, 702.9, 701.9, 701.3]",0-0
5,"[701.8, 702.0, 702.3, 702.9, 703.9, 705.3, 706.7, 707.7, 708.3, 708.6]","[690.8, 690.8, 690.9, 690.9, 690.9, 691.1, 691.3, 691.3, 691.3, 691.4]","[726.2, 726.2, 726.1, 726.1, 726.1, 726.2, 726.3, 726.3, 726.3, 726.2]","[714.8, 714.5, 713.8, 712.8, 711.5, 709.9, 708.3, 707.0, 706.0, 705.3]",0-0
6,"[700.2, 700.4, 700.9, 701.6, 702.7, 704.3, 705.9, 707.0, 707.7, 708.2]","[690.4, 690.4, 690.4, 690.3, 690.3, 690.2, 690.1, 690.1, 690.0, 690.0]","[726.2, 726.3, 726.2, 726.2, 726.2, 726.2, 726.2, 726.2, 726.2, 726.1]","[715.8, 715.6, 714.8, 713.7, 712.1, 710.3, 708.5, 706.9, 705.8, 705.0]",0-0
7,"[706.2, 706.3, 706.7, 707.3, 708.1, 709.1, 710.1, 710.9, 711.5, 711.9]","[690.2, 690.2, 690.1, 690.1, 690.1, 690.0, 689.9, 689.9, 689.9, 689.8]","[725.8, 725.8, 725.7, 725.6, 725.5, 725.5, 725.5, 725.4, 725.3, 725.2]","[713.8, 713.5, 712.8, 711.6, 709.9, 708.0, 706.1, 704.4, 703.2, 702.5]",0-0
8,"[701.6, 701.8, 702.4, 703.4, 704.6, 706.1, 707.6, 708.8, 709.8, 710.4]","[689.6, 689.6, 689.7, 689.8, 690.0, 690.3, 690.6, 690.8, 690.9, 691.0]","[725.2, 725.2, 725.2, 725.3, 725.4, 725.6, 725.8, 725.9, 726.0, 726.0]","[716.4, 716.2, 715.8, 715.0, 713.9, 712.5, 711.1, 710.0, 709.2, 708.8]",0-0
9,"[701.0, 701.1, 701.6, 702.4, 703.4, 704.6, 705.8, 706.8, 707.6, 708.1]","[688.8, 688.8, 688.9, 688.9, 688.9, 688.9, 688.9, 688.9, 688.9, 689.0]","[725.2, 725.2, 725.3, 725.3, 725.3, 725.3, 725.3, 725.3, 725.3, 725.4]","[714.0, 713.7, 713.0, 711.5, 709.6, 707.6, 705.6, 703.7, 702.2, 701.5]",0-0
10,"[703.8, 704.1, 704.6, 705.2, 706.0, 706.9, 707.8, 708.6, 709.2, 709.7]","[690.0, 690.1, 690.1, 690.1, 690.1, 690.0, 689.9, 689.9, 689.9, 689.9]","[726.0, 726.0, 726.0, 726.0, 726.0, 725.9, 725.8, 725.8, 725.8, 725.8]","[714.0, 713.7, 712.8, 711.4, 709.5, 707.3, 705.1, 703.2, 701.8, 700.9]",0-0
11,"[700.8, 700.8, 701.0, 701.5, 702.2, 703.1, 704.0, 704.7, 705.2, 705.4]","[689.6, 689.6, 689.6, 689.6, 689.7, 689.7, 689.7, 689.8, 689.8, 689.8]","[726.4, 726.5, 726.4, 726.4, 726.4, 726.4, 726.4, 726.4, 726.4, 726.3]","[719.6, 719.4, 718.9, 718.0, 716.9, 715.3, 713.7, 712.6, 711.7, 711.2]",0-0
12,"[701.4, 701.5, 702.0, 702.8, 703.8, 705.0, 706.2, 707.2, 708.0, 708.5]","[688.0, 688.1, 688.2, 688.3, 688.3, 688.3, 688.3, 688.3, 688.4, 688.5]","[725.0, 725.0, 725.0, 725.0, 725.0, 724.9, 724.8, 724.8, 724.8, 724.8]","[713.6, 713.3, 712.5, 711.2, 709.4, 707.2, 705.0, 703.2, 701.9, 701.1]",0-0
13,"[699.4, 699.6, 700.2, 701.1, 702.3, 703.7, 705.1, 706.3, 707.2, 707.8]","[688.0, 688.0, 688.0, 688.0, 688.0, 688.0, 688.0, 688.0, 688.0, 688.0]","[724.8, 724.9, 724.9, 724.9, 724.9, 724.9, 724.9, 724.9, 724.9, 724.9]","[711.0, 710.7, 709.8, 708.5, 706.7, 704.6, 702.5, 700.7, 699.4, 698.5]",0-0
14,"[701.2, 701.3, 701.7, 702.3, 703.1, 704.1, 705.1, 705.9, 706.5, 706.9]","[688.2, 688.2, 688.2, 688.2, 688.2, 688.2, 688.2, 688.2, 688.2, 688.2]","[725.0, 725.0, 725.0, 725.0, 724.9, 724.8, 724.7, 724.6, 724.6, 724.6]","[712.2, 711.9, 711.1, 709.7, 707.9, 705.7, 703.5, 701.7, 700.3, 699.5]",0-0
15,"[697.8, 697.9, 698.4, 699.2, 700.3, 701.8, 703.3, 704.4, 705.2, 705.7]","[685.2, 685.2, 685.2, 685.2, 685.3, 685.6, 685.9, 686.0, 686.0, 686.0]","[724.2, 724.2, 724.2, 724.3, 724.4, 724.6, 724.8, 724.9, 725.0, 725.0]","[718.6, 718.5, 718.2, 717.8, 717.0, 715.9, 714.8, 714.0, 713.6, 713.3]",0-0
16,"[693.2, 693.4, 694.1, 695.2, 696.7, 698.4, 700.1, 701.6, 702.7, 703.4]","[685.2, 685.2, 685.2, 685.1, 685.0, 684.9, 684.8, 684.7, 684.6, 684.6]","[723.8, 723.8, 723.8, 723.7, 723.6, 723.8, 724.0, 723.9, 723.8, 723.8]","[708.6, 708.3, 707.7, 706.6, 705.3, 703.6, 701.9, 700.6, 699.5, 698.9]",0-0
