,index,middle,ring,pinky,label
0,"[757.0, 757.0, 757.0, 757.0, 756.9, 756.8, 756.7, 756.6, 756.6, 756.6]","[676.0, 676.0, 676.1, 676.1, 676.2, 676.3, 676.4, 676.5, 676.5, 676.6]","[786.4, 786.4, 786.4, 786.5, 786.6, 786.7, 786.8, 786.9, 787.0, 787.0]","[1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0]",0-0
1,"[755.6, 755.6, 755.5, 755.3, 755.0, 754.5, 754.0, 753.7, 753.5, 753.4]","[677.6, 677.6, 677.6, 677.7, 677.7, 677.6, 677.5, 677.5, 677.6, 677.6]","[793.0, 792.9, 792.8, 792.7, 792.6, 792.5, 792.4, 792.3, 792.2, 792.1]","[1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0]",0-0
2,"[752.2, 752.1, 752.0, 751.9, 751.8, 751.6, 751.4, 751.3, 751.2, 751.1]","[675.2, 675.3, 675.4, 675.4, 675.5, 675.6, 675.7, 675.8, 675.8, 675.9]","[787.0, 786.9, 786.9, 786.9, 786.8, 786.7, 786.6, 786.5, 786.5, 786.5]","[1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0]",0-0
3,"[750.8, 750.8, 750.7, 750.6, 750.5, 750.4, 750.3, 750.2, 750.1, 750.0]","[674.0, 674.0, 674.0, 674.1, 674.2, 674.3, 674.4, 674.5, 674.6, 674.6]","[786.4, 786.5, 786.5, 786.5, 786.4, 786.2, 786.0, 785.9, 785.9, 785.9]","[1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0]",0-0
4,"[750.2, 750.1, 750.0, 749.9, 749.8, 749.5, 749.2, 749.1, 749.0, 748.9]","[674.0, 674.0, 674.1, 674.1, 674.1, 674.1, 674.1, 674.1, 674.1, 674.2]","[785.2, 785.2, 785.1, 785.0, 784.9, 784.6, 784.3, 784.2, 784.1, 784.0]","[1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0]",0-0
5,"[750.0, 749.9, 749.8, 749.7, 749.6, 749.5, 749.4, 749.3, 749.2, 749.1]","[672.0, 672.0, 672.0, 672.0, 672.0, 672.0, 672.0, 672.0, 672.0, 672.0]","[783.6, 783.6, 783.6, 783.5, 783.3, 783.1, 782.9, 782.7, 782.6, 782.6]","[1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0]",0-0
6,"[750.4, 750.4, 750.3, 750.0, 749.7, 749.4, 749.1, 748.8, 748.5, 748.4]","[674.0, 674.0, 674.0, 674.0, 674.0, 674.0, 674.0, 674.0, 674.0, 674.0]","[784.0, 784.0, 784.0, 784.0, 784.0, 783.9, 783.8, 783.8, 783.8, 783.8]","[1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0]",0-0
7,"[747.8, 747.8, 747.7, 747.6, 747.4, 747.2, 747.0, 746.8, 746.7, 746.6]","[672.0, 672.0, 672.0, 672.0, 671.9, 671.8, 671.7, 671.6, 671.6, 671.6]","[783.4, 783.4, 783.4, 783.3, 783.1, 782.9, 782.7, 782.5, 782.4, 782.4]","[1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0]",0-0
8,"[748.0, 748.0, 748.0, 747.9, 747.7, 747.5, 747.3, 747.1, 747.0, 747.0]","[672.4, 672.3, 672.2, 672.1, 671.8, 671.5, 671.2, 670.9, 670.8, 670.7]","[783.0, 782.9, 782.8, 782.7, 782.5, 782.3, 782.1, 781.9, 781.8, 781.7]","[1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0]",0-0
9,"[748.2, 748.2, 748.0, 747.8, 747.4, 747.0, 746.6, 746.2, 746.0, 745.8]","[672.0, 672.0, 671.9, 671.7, 671.5, 671.2, 670.9, 670.7, 670.5, 670.4]","[783.2, 783.2, 783.2, 783.1, 782.9, 782.8, 782.7, 782.5, 782.4, 782.4]","[1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0, 1023.0]",0-0
