,index,middle,ring,pinky,label
0,"[743.0, 743.1, 743.2, 743.3, 743.4, 743.5, 743.6, 743.7, 743.8, 743.9]","[573.0, 573.0, 573.0, 573.0, 573.0, 573.0, 573.0, 573.0, 573.0, 573.0]","[568.0, 568.0, 568.0, 568.0, 568.0, 568.0, 568.0, 568.0, 568.0, 568.0]","[708.0, 708.0, 708.1, 708.1, 708.3, 708.5, 708.7, 708.9, 708.9, 709.0]",0-0
1,"[743.2, 743.2, 743.4, 743.7, 744.0, 744.3, 744.6, 744.9, 745.2, 745.4]","[572.0, 572.1, 572.1, 572.2, 572.3, 572.4, 572.5, 572.6, 572.7, 572.7]","[567.0, 567.0, 567.0, 567.0, 567.0, 567.0, 567.0, 567.0, 567.0, 567.0]","[709.2, 709.3, 709.6, 710.1, 710.8, 711.6, 712.4, 713.1, 713.6, 713.9]",0-0
2,"[743.0, 743.0, 743.0, 743.0, 743.0, 743.1, 743.2, 743.2, 743.2, 743.2]","[572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0]","[567.0, 567.0, 567.0, 567.0, 567.0, 567.0, 567.0, 567.0, 567.0, 567.0]","[705.8, 706.0, 706.2, 706.5, 706.9, 707.3, 707.7, 708.1, 708.4, 708.6]",0-0
3,"[742.2, 742.2, 742.3, 742.4, 742.5, 742.6, 742.7, 742.8, 742.9, 743.0]","[572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0]","[567.0, 567.0, 567.0, 567.1, 567.1, 567.1, 567.1, 567.1, 567.2, 567.2]","[707.4, 707.4, 707.3, 707.2, 707.2, 707.2, 707.2, 707.2, 707.1, 707.0]",0-0
4,"[742.0, 742.0, 742.0, 742.0, 742.1, 742.2, 742.3, 742.4, 742.4, 742.4]","[572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0]","[567.0, 567.0, 567.0, 567.0, 567.0, 567.0, 567.0, 567.0, 567.0, 567.0]","[704.8, 704.8, 705.0, 705.1, 705.4, 705.7, 706.0, 706.3, 706.4, 706.6]",0-0
5,"[740.4, 740.4, 740.4, 740.5, 740.6, 740.7, 740.8, 740.9, 741.0, 741.0]","[572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0, 572.0]","[566.8, 566.8, 566.8, 566.9, 566.9, 566.9, 566.9, 566.9, 567.0, 567.0]","[705.2, 705.3, 705.4, 705.5, 705.6, 705.8, 706.0, 706.1, 706.2, 706.3]",0-0
6,"[741.0, 741.1, 741.2, 741.3, 741.4, 741.5, 741.6, 741.7, 741.8, 741.9]","[571.6, 571.7, 571.7, 571.7, 571.7, 571.8, 571.9, 571.9, 571.9, 571.9]","[566.0, 566.0, 566.0, 566.0, 566.0, 566.1, 566.2, 566.2, 566.2, 566.2]","[705.4, 705.5, 705.6, 705.8, 706.1, 706.3, 706.5, 706.8, 707.0, 707.1]",0-0
7,"[741.2, 741.2, 741.3, 741.4, 741.5, 741.6, 741.7, 741.8, 741.9, 742.0]","[571.0, 571.1, 571.2, 571.3, 571.4, 571.5, 571.6, 571.7, 571.8, 571.9]","[566.0, 566.0, 566.1, 566.1, 566.1, 566.2, 566.3, 566.3, 566.3, 566.4]","[705.6, 705.6, 705.5, 705.4, 705.4, 705.6, 705.8, 705.8, 705.7, 705.6]",0-0
8,"[741.6, 741.6, 741.6, 741.7, 741.9, 742.1, 742.3, 742.5, 742.6, 742.6]","[571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0]","[566.0, 566.0, 566.0, 566.0, 566.0, 566.0, 566.0, 566.0, 566.0, 566.0]","[701.6, 701.6, 701.9, 702.1, 702.5, 702.9, 703.3, 703.7, 703.9, 704.2]",0-0
9,"[740.8, 740.7, 740.6, 740.5, 740.4, 740.5, 740.6, 740.5, 740.4, 740.3]","[571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0]","[566.0, 566.0, 566.0, 566.0, 566.0, 566.0, 566.0, 566.0, 566.0, 566.0]","[699.8, 699.8, 699.8, 699.9, 700.0, 700.1, 700.2, 700.3, 700.4, 700.4]",0-0
10,"[739.6, 739.6, 739.9, 740.1, 740.3, 740.5, 740.7, 740.9, 741.1, 741.4]","[571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0]","[566.0, 566.0, 566.0, 566.0, 566.0, 566.0, 566.0, 566.0, 566.0, 566.0]","[700.2, 700.3, 700.5, 700.9, 701.4, 702.1, 702.8, 703.3, 703.7, 703.9]",0-0
11,"[741.0, 741.0, 741.1, 741.2, 741.3, 741.5, 741.7, 741.8, 741.9, 742.0]","[571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0, 571.0]","[566.0, 566.0, 566.0, 566.0, 566.1, 566.2, 566.3, 566.4, 566.4, 566.4]","[699.8, 699.8, 699.9, 700.0, 700.2, 700.6, 701.0, 701.2, 701.3, 701.4]",0-0
